,0,1,2,3,4,5,6,7,8
0,0.004,0.118,0.154,0.098,0.044,0.582,,,
1,0.068,0.09,0.134,0.082,0.626,,,,
2,0.384,0.122,0.127,0.367,,,,,
3,0.14,0.234,0.102,0.012,0.512,,,,
4,0.092,0.316,0.168,0.044,0.004,0.376,,,
5,0.092,0.124,0.154,0.078,0.552,,,,
6,0.305,0.215,0.119,0.361,,,,,
7,0.316,0.199,0.074,0.411,,,,,
8,0.052,0.198,0.122,0.06,0.022,0.546,,,
9,0.21,0.3,0.104,0.036,0.006,0.344,,,
10,0.192,0.35,0.062,0.034,0.362,,,,
11,0.302,0.114,0.152,0.054,0.378,,,,
12,0.11,0.278,0.092,0.032,0.488,,,,
13,0.048,0.182,0.15,0.084,0.024,0.512,,,
14,0.0,0.024,0.258,0.076,0.056,0.586,,,
15,0.004,0.302,0.16,0.072,0.034,0.428,,,
16,0.084,0.232,0.196,0.098,0.006,0.384,,,
17,0.126,0.262,0.202,0.062,0.008,0.34,,,
18,0.167,0.103,0.103,0.627,,,,,
19,0.484,0.102,0.054,0.018,0.342,,,,
20,0.086,0.312,0.068,0.034,0.5,,,,
21,0.016,0.206,0.234,0.06,0.484,,,,
22,0.248,0.212,0.126,0.032,0.002,0.38,,,
23,0.32,0.182,0.12,0.044,0.016,0.318,,,
24,0.126,0.336,0.146,0.016,0.376,,,,
25,0.088,0.288,0.186,0.028,0.022,0.388,,,
26,0.0,0.23,0.17,0.07,0.016,0.514,,,
27,0.082,0.272,0.258,0.05,0.01,0.328,,,
28,0.04,0.232,0.258,0.048,0.422,,,,
29,0.29,0.262,0.096,0.032,0.32,,,,
30,0.012,0.282,0.174,0.044,0.488,,,,
31,0.158,0.262,0.08,0.05,0.028,0.422,,,
32,0.094,0.154,0.162,0.078,0.512,,,,
33,0.016,0.28,0.236,0.046,0.012,0.41,,,
34,0.03,0.22,0.145,0.1,0.045,0.0,0.07,0.39,
35,0.505,0.01,0.045,0.035,0.025,0.005,0.255,0.12,
36,0.105,0.175,0.22,0.075,0.035,0.005,0.385,,
37,0.025,0.255,0.16,0.105,0.015,0.005,0.0,0.435,
38,0.0,0.23,0.115,0.06,0.045,0.005,0.545,,
39,0.215,0.115,0.1,0.06,0.02,0.005,0.485,,
40,0.0,0.235,0.15,0.08,0.045,0.005,0.105,0.38,
41,0.29,0.23,0.085,0.005,0.01,0.005,0.375,,
42,0.105,0.125,0.115,0.075,0.01,0.015,0.555,,
43,0.02,0.245,0.295,0.055,0.01,0.01,0.365,,
44,0.0,0.015,0.115,0.065,0.075,0.015,0.715,,
45,0.0,0.23,0.08,0.015,0.01,0.01,0.655,,
46,0.42,0.0,0.055,0.08,0.005,0.02,0.42,,
47,0.255,0.15,0.11,0.06,0.01,0.005,0.41,,
48,0.175,0.19,0.145,0.04,0.02,0.015,0.415,,
49,0.02,0.34,0.16,0.07,0.005,0.0,0.405,,
50,0.14,0.09,0.13,0.035,0.02,0.01,0.355,0.22,
51,0.175,0.225,0.1,0.065,0.02,0.005,0.005,0.405,
52,0.08,0.28,0.16,0.07,0.02,0.0,0.39,,
53,0.36,0.15,0.065,0.06,0.0,0.015,0.35,,
54,0.205,0.115,0.115,0.125,0.01,0.005,0.425,,
55,0.125,0.205,0.22,0.08,0.055,0.005,0.295,0.015,
56,0.0,0.07,0.17,0.105,0.075,0.005,0.575,,
57,0.005,0.24,0.18,0.115,0.01,0.01,0.44,,
58,0.19,0.17,0.12,0.065,0.025,0.0,0.32,0.11,
59,0.165,0.225,0.175,0.085,0.01,0.0,0.34,,
60,0.29,0.09,0.075,0.02,0.045,0.025,0.35,0.105,
61,0.045,0.37,0.205,0.055,0.03,0.0,0.295,,
62,0.285,0.145,0.065,0.03,0.01,0.0,0.465,,
63,0.035,0.135,0.1,0.065,0.02,0.02,0.625,,
64,0.0,0.34,0.035,0.035,0.01,0.005,0.16,0.235,0.18
65,0.09,0.07,0.205,0.08,0.035,0.01,0.135,0.205,0.17
66,0.035,0.305,0.095,0.045,0.03,0.025,0.105,0.34,0.02
67,0.135,0.165,0.18,0.035,0.025,0.015,0.175,0.08,0.19
68,0.0,0.17,0.1,0.075,0.045,0.005,0.25,0.25,0.105
69,0.0,0.01,0.2,0.095,0.075,0.01,0.295,0.205,0.11
70,0.005,0.18,0.215,0.075,0.0,0.0,0.125,0.155,0.245
71,0.0,0.03,0.205,0.125,0.04,0.02,0.295,0.08,0.205
72,0.285,0.175,0.055,0.04,0.005,0.005,0.285,0.115,0.035
73,0.2,0.23,0.18,0.02,0.01,0.0,0.23,0.01,0.12
74,0.405,0.045,0.07,0.03,0.015,0.02,0.1,0.13,0.185
75,0.285,0.11,0.13,0.035,0.025,0.0,0.32,0.085,0.01
76,0.385,0.14,0.06,0.015,0.005,0.0,0.1,0.1,0.195
77,0.285,0.19,0.05,0.04,0.0,0.0,0.37,0.0,0.065
78,0.165,0.22,0.065,0.065,0.015,0.005,0.35,0.09,0.025
79,0.015,0.375,0.1,0.045,0.03,0.01,0.165,0.16,0.1
80,0.145,0.135,0.135,0.09,0.07,0.0,0.29,0.07,0.065
81,0.375,0.0,0.085,0.05,0.035,0.015,0.155,0.205,0.08
82,0.0,0.06,0.235,0.145,0.025,0.01,0.31,0.195,0.02
83,0.09,0.15,0.225,0.025,0.04,0.0,0.165,0.05,0.255
84,0.055,0.195,0.215,0.1,0.005,0.005,0.135,0.025,0.265
85,0.035,0.13,0.15,0.14,0.03,0.005,0.3,0.06,0.15
86,0.0,0.08,0.175,0.07,0.02,0.01,0.315,0.225,0.105
87,0.09,0.165,0.25,0.065,0.005,0.0,0.195,0.175,0.055
88,0.18,0.24,0.135,0.03,0.015,0.0,0.275,0.12,0.005
89,0.175,0.065,0.01,0.06,0.07,0.015,0.365,0.12,0.12
90,0.0,0.0,0.055,0.115,0.045,0.015,0.145,0.185,0.44
91,0.0,0.15,0.14,0.17,0.075,0.01,0.2,0.135,0.12
92,0.065,0.245,0.175,0.075,0.035,0.0,0.275,0.085,0.045
93,0.05,0.305,0.085,0.055,0.03,0.01,0.195,0.24,0.03
