,0,1,2,3,4,5,6,7,8
0,0.0,0.01,0.002,0.0,0.0,0.988,,,
1,0.008,0.006,0.004,0.0,0.982,,,,
2,0.056,0.029,0.0,0.915,,,,,
3,0.016,0.01,0.004,0.0,0.97,,,,
4,0.028,0.056,0.006,0.0,0.0,0.91,,,
5,0.016,0.016,0.002,0.0,0.966,,,,
6,0.046,0.025,0.004,0.925,,,,,
7,0.04,0.015,0.002,0.943,,,,,
8,0.008,0.01,0.002,0.0,0.0,0.98,,,
9,0.014,0.05,0.0,0.0,0.0,0.936,,,
10,0.022,0.034,0.002,0.0,0.942,,,,
11,0.034,0.018,0.002,0.0,0.946,,,,
12,0.008,0.008,0.0,0.0,0.984,,,,
13,0.008,0.026,0.004,0.0,0.0,0.962,,,
14,0.0,0.0,0.006,0.0,0.0,0.994,,,
15,0.0,0.058,0.004,0.0,0.0,0.938,,,
16,0.018,0.058,0.004,0.0,0.0,0.92,,,
17,0.03,0.048,0.002,0.0,0.0,0.92,,,
18,0.012,0.005,0.001,0.982,,,,,
19,0.076,0.012,0.002,0.0,0.91,,,,
20,0.008,0.044,0.002,0.0,0.946,,,,
21,0.0,0.01,0.0,0.0,0.99,,,,
22,0.046,0.026,0.0,0.0,0.0,0.928,,,
23,0.056,0.036,0.004,0.0,0.0,0.904,,,
24,0.01,0.052,0.004,0.0,0.934,,,,
25,0.01,0.052,0.002,0.0,0.0,0.936,,,
26,0.0,0.002,0.006,0.0,0.0,0.992,,,
27,0.012,0.072,0.004,0.0,0.0,0.912,,,
28,0.004,0.04,0.01,0.0,0.946,,,,
29,0.04,0.036,0.002,0.0,0.922,,,,
30,0.0,0.046,0.004,0.0,0.95,,,,
31,0.028,0.03,0.008,0.0,0.0,0.934,,,
32,0.006,0.012,0.0,0.002,0.98,,,,
33,0.0,0.054,0.0,0.0,0.0,0.946,,,
34,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.965,
35,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.94,
36,0.015,0.02,0.02,0.0,0.0,0.0,0.945,,
37,0.005,0.04,0.0,0.0,0.0,0.0,0.0,0.955,
38,0.0,0.005,0.0,0.0,0.0,0.0,0.995,,
39,0.015,0.015,0.005,0.0,0.0,0.0,0.965,,
40,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.985,
41,0.04,0.005,0.0,0.0,0.0,0.0,0.955,,
42,0.015,0.005,0.0,0.0,0.0,0.0,0.98,,
43,0.0,0.06,0.01,0.0,0.0,0.0,0.93,,
44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
45,0.0,0.005,0.0,0.0,0.0,0.0,0.995,,
46,0.08,0.0,0.0,0.0,0.0,0.0,0.92,,
47,0.02,0.03,0.015,0.0,0.0,0.0,0.935,,
48,0.02,0.04,0.005,0.0,0.0,0.0,0.935,,
49,0.005,0.04,0.005,0.0,0.0,0.0,0.95,,
50,0.02,0.005,0.0,0.0,0.0,0.0,0.0,0.975,
51,0.035,0.05,0.005,0.0,0.0,0.0,0.0,0.91,
52,0.01,0.03,0.015,0.0,0.0,0.0,0.945,,
53,0.02,0.025,0.0,0.0,0.0,0.0,0.955,,
54,0.0,0.03,0.005,0.0,0.0,0.0,0.965,,
55,0.02,0.07,0.005,0.0,0.0,0.0,0.0,0.905,
56,0.0,0.0,0.005,0.0,0.0,0.0,0.995,,
57,0.0,0.025,0.0,0.0,0.0,0.0,0.975,,
58,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.94,
59,0.015,0.06,0.005,0.0,0.0,0.0,0.92,,
60,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.96,
61,0.005,0.08,0.0,0.0,0.0,0.0,0.915,,
62,0.045,0.02,0.0,0.0,0.0,0.0,0.935,,
63,0.01,0.035,0.0,0.0,0.0,0.0,0.955,,
64,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.91,0.085
65,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.94,0.045
66,0.01,0.025,0.005,0.0,0.0,0.0,0.0,0.92,0.04
67,0.015,0.045,0.005,0.0,0.0,0.0,0.0,0.765,0.17
68,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.905,0.03
69,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.925,0.045
70,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.06,0.915
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.98
72,0.025,0.005,0.0,0.0,0.0,0.0,0.0,0.785,0.185
73,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.055,0.885
74,0.06,0.025,0.0,0.0,0.0,0.0,0.0,0.075,0.84
75,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.93,0.01
76,0.035,0.035,0.0,0.0,0.0,0.0,0.0,0.28,0.65
77,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.95
